EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PrecissRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E20068777716022812209DB8,3,1,-26,-48,-4800,2668,1367933344330341,1367933344330341,1,1367936780291
E20068777716022812209DB8,4,1,143,-48,-4800,2532,1367933344351084,1367933344351084,1,1367936780291
E20068777716022812209DB8,4,1,-52,-48,-4800,2560,1367933344358608,1367933344358608,1,1367936780291
E20068777716022812209DB8,3,1,195,-48,-4800,2644,1367933344374446,1367933344374446,1,1367936780291
E20068777716022812209DB8,3,1,78,-48,-4800,2644,1367933344382448,1367933344382448,1,1367936780291
E20068777716022812209DB8,4,1,-169,-48,-4850,2568,1367933344396464,1367933344396464,1,1367936780291
E20068777716022812209DB8,4,1,-195,-48,-4800,2572,1367933344403632,1367933344403632,1,1367936780291
E20068777716022812209DB8,3,1,-52,-48,-4850,2668,1367933344426184,1367933344426184,1,1367936780291
E20068777716022812209DB8,3,1,247,-48,-4800,2616,1367933344435220,1367933344435220,1,1367936780291
E20068777716022812209DB8,4,1,78,-48,-4800,2552,1367933344450910,1367933344450910,1,1367936780296
E20068777716022812209DB8,4,1,-299,-48,-4850,2576,1367933344456333,1367933344456333,1,1367936780296
E20068777716022812209DB8,3,1,-52,-48,-4800,2652,1367933344475063,1367933344475063,1,1367936780296
E20068777716022812209DB8,3,1,143,-48,-4800,2640,1367933344481352,1367933344481352,1,1367936780390
E20068777716022812209DB8,4,1,78,-48,-4800,2536,1367933344496260,1367933344496260,1,1367936780390
E20068777716022812209DB8,4,1,-169,-48,-4850,2560,1367933344503423,1367933344503423,1,1367936780390
E20068777716022812209DB8,4,1,0,-48,-4850,2540,1367933344525118,1367933344525118,1,1367936780390
E20068777716022812209DB8,4,1,52,-48,-4850,2544,1367933344530246,1367933344530246,1,1367936780390
E20068777716022812209DB8,3,1,117,-48,-4800,2644,1367933344549883,1367933344549883,1,1367936780390
E20068777716022812209DB8,3,1,143,-48,-4800,2652,1367933344558852,1367933344558852,1,1367936780390
E20068777716022812209DB8,4,1,26,-48,-4800,2536,1367933344572306,1367933344572306,1,1367936780390
E20068777716022812209DB8,4,1,-221,-48,-4800,2568,1367933344581546,1367933344581546,1,1367936780482
E20068777716022812209DB8,4,1,26,-48,-4800,2564,1367933344604365,1367933344604365,1,1367936780482
E20068777716022812209DB8,4,1,-78,-48,-4850,2544,1367933344611802,1367933344611802,1,1367936780482
E20068777716022812209DB8,4,1,26,-48,-4850,2536,1367933344635051,1367933344635051,1,1367936780482
E20068777716022812209DB8,4,1,26,-48,-4850,2544,1367933344645425,1367933344645425,1,1367936780486
E20068777716022812209DB8,3,1,0,-48,-4850,2672,1367933344659920,1367933344659920,1,1367936780486
E20068777716022812209DB8,3,1,-78,-48,-4800,2664,1367933344671999,1367933344671999,1,1367936780486
E20068777716022812209DB8,4,1,78,-48,-4800,2528,1367933344688098,1367933344688098,1,1367936780636
E20068777716022812209DB8,4,1,-143,-48,-4800,2560,1367933344698903,1367933344698903,1,1367936780636
E20068777716022812209DB8,3,1,-117,-48,-4800,2672,1367933344712603,1367933344712603,1,1367936780636
E20068777716022812209DB8,3,1,143,-48,-4800,2644,1367933344723279,1367933344723279,1,1367936780636
E20068777716022812209DB8,4,1,-221,-48,-4800,2556,1367933344738835,1367933344738835,1,1367936780636
E20068777716022812209DB8,4,1,-117,-48,-4800,2560,1367933344746358,1367933344746358,1,1367936780636
E20068777716022812209DB8,4,1,-273,-48,-4800,2560,1367933344766664,1367933344766664,1,1367936780636
E20068777716022812209DB8,4,1,143,-48,-4800,2532,1367933344776533,1367933344776533,1,1367936780636
E20068777716022812209DB8,3,1,0,-48,-4800,2660,1367933344790607,1367933344790607,1,1367936780636
E20068777716022812209DB8,3,1,52,-48,-4800,2656,1367933344799676,1367933344799676,1,1367936780637
E20068777716022812209DB8,4,1,-117,-48,-4850,2556,1367933344819533,1367933344819533,1,1367936780637
E20068777716022812209DB8,4,1,-52,-48,-4850,2548,1367933344825733,1367933344825733,1,1367936780637
E20068777716022812209DB8,3,1,-26,-48,-4800,2672,1367933344843312,1367933344843312,1,1367936780773
E20068777716022812209DB8,3,1,-221,-48,-4800,2696,1367933344850946,1367933344850946,1,1367936780774
E20068777716022812209DB8,4,1,-117,-48,-4850,2564,1367933344864905,1367933344864905,1,1367936780774
E20068777716022812209DB8,4,1,-117,-48,-4850,2556,1367933344877302,1367933344877302,1,1367936780774
E20068777716022812209DB8,4,1,-26,-48,-4850,2544,1367933344892297,1367933344892297,1,1367936780774
